iso3,threshold,score,rank
CIV,0.5,5.132647144193606,34.0
CMR,0.5,5.397995005420832,29.0
COD,0.5,6.239224258267312,11.0
COG,0.5,4.125792133898989,56.0
COL,0.5,4.286401014560442,52.0
COM,0.5,2.4977441814940224,100.0
CPV,0.5,2.039533642014305,113.0
CRI,0.5,1.9147983693605566,123.0
CUB,0.5,3.193513453247702,82.0
CZE,0.5,1.9389653658212642,120.0
DEU,0.5,1.0826819111581634,143.0
DJI,0.5,3.9284051010353904,61.0
DOM,0.5,2.7759215796164947,92.0
DZA,0.5,2.993692260424632,87.0
ECU,0.5,3.4417274281749783,74.0
EGY,0.5,4.4080393012288335,49.0
ERI,0.5,5.403035693404469,28.0
ETH,0.5,6.350764616914766,9.0
FIN,0.5,0.5682451119827905,155.0
FJI,0.5,2.2913313992297586,105.0
GAB,0.5,3.501021725155246,72.0
GBR,0.5,0.966123537333008,146.0
GEO,0.5,2.154584105317717,111.0
GHA,0.5,4.632590185818535,43.0
GIN,0.5,6.025468563701969,14.0
GMB,0.5,4.093116717958815,57.0
GNB,0.5,4.939095243342113,38.0
GNQ,0.5,3.898467134600584,62.0
GTM,0.5,4.622228288838459,44.0
GUY,0.5,2.255774329155669,107.0
HND,0.5,4.421522732089628,48.0
HTI,0.5,4.581262189871729,46.0
IDN,0.5,5.021171723466539,37.0
IND,0.5,6.013320485294833,15.0
IRL,0.5,0.8336436684640187,150.0
IRN,0.5,4.211601646755833,54.0
IRQ,0.5,3.845632033141273,63.0
JAM,0.5,2.0269084215677955,114.0
JOR,0.5,2.8728671397567567,89.0
JPN,0.5,1.5740056717413569,136.0
KAZ,0.5,2.1881231156230303,110.0
KEN,0.5,5.114663733215514,35.0
KGZ,0.5,2.278292989030462,106.0
KHM,0.5,5.946506801403464,17.0
KIR,0.5,1.773806388551904,131.0
KOR,0.5,2.0639484915054833,112.0
KWT,0.5,3.352418442873369,77.0
LAO,0.5,5.532737631618761,24.0
LBN,0.5,2.3237874941075667,103.0
LBR,0.5,5.028254137576834,36.0
LBY,0.5,3.297744700534264,79.0
LCA,0.5,1.5061607702101327,137.0
LKA,0.5,2.7603497019410286,93.0
LSO,0.5,2.749824992262789,94.0
LTU,0.5,0.7168572696980563,153.0
LVA,0.5,0.822775137835474,151.0
MAR,0.5,4.853993131628651,39.0
MDA,0.5,2.2016830188139322,109.0
MDG,0.5,7.758536585444045,1.0
MDV,0.5,0.7124169970526846,154.0
MEX,0.5,4.062878347589352,58.0
MHL,0.5,1.847610372505786,126.0
MKD,0.5,1.9419572315800102,119.0
MLI,0.5,5.700039586944847,20.0
MLT,0.5,0.9183483312512664,148.0
MMR,0.5,6.7827853375933005,7.0
MNE,0.5,1.7551644467166796,132.0
MNG,0.5,1.9423828185364622,118.0
MOZ,0.5,7.358112790426592,3.0
MRT,0.5,5.516292204794049,25.0
MWI,0.5,3.8138456122979183,64.0
MYS,0.5,4.02850525989076,59.0
NAM,0.5,4.32286455585545,51.0
NER,0.5,6.350432780797697,10.0
NGA,0.5,6.636716239210802,8.0
NLD,0.5,0.8681537214165524,149.0
NPL,0.5,3.612642755378741,68.0
NRU,0.5,0.35461800461609344,157.0
OMN,0.5,3.724354250991834,65.0
PAK,0.5,7.020131622342117,5.0
PAN,0.5,2.856329133055313,90.0
PER,0.5,4.180246932456551,55.0
PHL,0.5,5.610349127358854,23.0
PNG,0.5,5.246842375015589,33.0
POL,0.5,0.974833232942631,145.0
PRK,0.5,2.588835740660793,97.0
PRT,0.5,1.1790964786804712,141.0
PRY,0.5,2.7181481474761653,95.0
PSE,0.5,1.8302536162167133,127.0
QAT,0.5,2.2200446842840384,108.0
ROU,0.5,1.784813055094358,130.0
RUS,0.5,3.152619955366511,85.0
RWA,0.5,3.0325532611041317,86.0
SAU,0.5,3.3474703763641025,78.0
SDN,0.5,7.096401471236293,4.0
SEN,0.5,4.785554113331131,40.0
SGP,0.5,1.177162634105477,142.0
SLB,0.5,3.189935457128133,83.0
SLE,0.5,5.503063791661862,26.0
SLV,0.5,3.525489966920172,70.0
SOM,0.5,7.018718213584951,6.0
SRB,0.5,1.7292674901459701,134.0
SSD,0.5,6.225196981811817,12.0
STP,0.5,1.9976284080003381,116.0
SUR,0.5,2.5280845986038996,99.0
SWZ,0.5,3.2206059339525357,80.0
SYR,0.5,3.4896114756136383,73.0
TCD,0.5,7.378080985818554,2.0
TGO,0.5,4.6409054274479535,42.0
THA,0.5,4.278163398903846,53.0
TJK,0.5,2.9135672044150347,88.0
TKM,0.5,2.4069677206062567,101.0
TLS,0.5,3.438042077463734,75.0
TON,0.5,1.4065724833335196,139.0
TTO,0.5,1.8701071580870818,125.0
TUN,0.5,2.563705220085874,98.0
TUR,0.5,3.1614156074389297,84.0
TUV,0.5,1.030633351557462,144.0
TZA,0.5,5.32822216807145,30.0
UGA,0.5,4.605737915149091,45.0
UKR,0.5,1.960754306005675,117.0
URY,0.5,1.925405462490759,122.0
USA,0.5,1.9291000695323006,121.0
UZB,0.5,3.2146330884231076,81.0
VNM,0.5,5.406025036167476,27.0
VUT,0.5,3.55597456749443,69.0
WSM,0.5,1.873950802999241,124.0
YEM,0.5,5.686738766020577,21.0
ZAF,0.5,4.322872809327739,50.0
ZMB,0.5,4.466850042147794,47.0
ZWE,0.5,4.763787459506874,41.0
AFG,0.6,5.887915324926768,17.0
AGO,0.6,6.067523143926221,12.0
ALB,0.6,1.7485648053391998,108.0
ARG,0.6,2.71481950830756,82.0
ARM,0.6,1.6361024258408776,110.0
AZE,0.6,3.365188031764474,67.0
BDI,0.6,3.965882451941944,55.0
BEN,0.6,5.802665853811902,18.0
BFA,0.6,5.305824429071388,29.0
BGD,0.6,5.64075037632106,21.0
BLR,0.6,0.5630565642233171,114.0
BLZ,0.6,2.8236229857225057,77.0
BOL,0.6,3.7015558364242445,59.0
BRA,0.6,3.503131181215151,63.0
BTN,0.6,2.3441625562917565,87.0
CAF,0.6,5.949218416832423,15.0
CHL,0.6,1.8023286934757479,105.0
CHN,0.6,5.267962988335518,30.0
CIV,0.6,5.132647144193606,32.0
CMR,0.6,5.397995005420832,27.0
COD,0.6,6.239224258267312,11.0
COG,0.6,4.125792133898989,52.0
COL,0.6,4.286401014560442,49.0
COM,0.6,2.4977441814940224,85.0
CPV,0.6,2.039533642014305,94.0
CRI,0.6,1.9147983693605566,100.0
CUB,0.6,3.193513453247702,70.0
DOM,0.6,2.7759215796164947,78.0
DZA,0.6,2.993692260424632,73.0
ECU,0.6,3.4417274281749783,65.0
EGY,0.6,4.4080393012288335,47.0
ETH,0.6,6.350764616914766,9.0
FJI,0.6,2.2913313992297586,88.0
GAB,0.6,3.501021725155246,64.0
GEO,0.6,2.154584105317717,93.0
GHA,0.6,4.632590185818535,41.0
GIN,0.6,6.025468563701969,13.0
GMB,0.6,4.093116717958815,53.0
GNB,0.6,4.939095243342113,36.0
GTM,0.6,4.622228288838459,42.0
GUY,0.6,2.255774329155669,90.0
HND,0.6,4.421522732089628,46.0
HTI,0.6,4.581262189871729,44.0
IDN,0.6,5.021171723466539,35.0
IND,0.6,6.013320485294833,14.0
IRQ,0.6,3.845632033141273,56.0
