iso3,iso3_wfp,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
TWN,TWN,288,Taiwan,Special Region or Province,drought_spei_copernicus_1940-2024,3218624.835689198,3323357.0634221924,23123129.83152925
LVA,LVA,140,Latvia,State,drought_spei_copernicus_1940-2024,17403.871170736988,352476.9483869649,1874322.021287544
BRN,BRN,40,Brunei Darussalam,State,drought_spei_copernicus_1940-2024,0.0,114778.69782310272,452556.379840337
SVK,SVK,223,Slovakia,State,drought_spei_copernicus_1940-2024,434358.3030202208,1043138.9547115172,5519415.897061884
FIN,FIN,84,Finland,State,drought_spei_copernicus_1940-2024,131393.2149844875,991548.920888732,5481302.3885392025
LIE,LIE,146,Liechtenstein,State,drought_spei_copernicus_1940-2024,6875.366860336075,6875.366860336075,39264.44906781761
LTU,LTU,147,Lithuania,State,drought_spei_copernicus_1940-2024,475.4374515232547,509050.7715009928,2863772.09982621
AUT,AUT,18,Austria,State,drought_spei_copernicus_1940-2024,532937.2308049273,1562148.6244652227,9130651.449956167
SGP,SGP,222,Singapore,State,drought_spei_copernicus_1940-2024,863181.0494423833,863181.0494423833,5744095.112007035
CZE,CZE,65,Czechia,State,drought_spei_copernicus_1940-2024,85498.01197436836,2026392.756159295,10797124.828764644
NLD,NLD,177,Netherlands,State,drought_spei_copernicus_1940-2024,1449960.890955865,3317694.0663007773,18030052.847647004
DNK,DNK,69,Denmark,State,drought_spei_copernicus_1940-2024,336105.06348355976,1147086.5097039014,5883745.467643925
GBR,GBR,256,United Kingdom of Great Britain & Northern Ireland,State,drought_spei_copernicus_1940-2024,13711940.872207971,13833633.365146387,66801101.24706387
SVN,SVN,224,Slovenia,State,drought_spei_copernicus_1940-2024,60541.27360149925,375370.8680088072,2110515.239747517
DEU,DEU,93,Germany,State,drought_spei_copernicus_1940-2024,2802086.7179419724,14032551.90622864,84349307.87342775
POL,POL,198,Poland,State,drought_spei_copernicus_1940-2024,1033774.776412649,6998876.8686780585,38662133.262678176
NOR,NOR,186,Norway,State,drought_spei_copernicus_1940-2024,467143.05220199225,1019110.016266715,5136993.174582463
SWE,SWE,236,Sweden,State,drought_spei_copernicus_1940-2024,830457.267207625,2091143.1934195133,10196581.00393724
HUN,HUN,113,Hungary,State,drought_spei_copernicus_1940-2024,790157.7085719795,1702868.9151752773,9688337.90151386
IRL,IRL,119,Ireland,State,drought_spei_copernicus_1940-2024,1187791.744472684,1189865.9818934544,5179629.594122755
ITA,ITA,122,Italy,State,drought_spei_copernicus_1940-2024,899261.8479960394,8877330.152171066,58943117.40229861
MMR,MMR,273,Myanmar,State,drought_spei_copernicus_1940-2024,3761479.151704388,15460209.413522577,53005901.19039029
CHE,CHE,237,Switzerland,State,drought_spei_copernicus_1940-2024,1531396.8490562183,1593959.8593163337,8906116.805290278
PLW,PLW,189,Palau,State,drought_spei_copernicus_1940-2024,398.6659117857853,3758.9448553167817,16582.14631588159
KHM,KHM,44,Cambodia,State,drought_spei_copernicus_1940-2024,638379.3013596456,6211089.468707346,17474504.368509203
MYS,MYS,153,Malaysia,State,drought_spei_copernicus_1940-2024,7578430.547765707,9438208.82051826,35021324.2878904
LAO,LAO,139,Lao People's Democratic Republic,State,drought_spei_copernicus_1940-2024,2346923.8598807887,2799992.107905541,7773197.463827402
CHN,CHN,53,China,State,drought_spei_copernicus_1940-2024,63515366.32608021,277313542.14029354,1398053699.0500314
TJK,TJK,239,Tajikistan,State,drought_spei_copernicus_1940-2024,4315983.017692109,4387169.652760618,10514773.839167291
PHL,PHL,275,Philippines,State,drought_spei_copernicus_1940-2024,24835028.14395232,38871077.87836391,111718450.53016572
VNM,VNM,264,Viet Nam,State,drought_spei_copernicus_1940-2024,14552326.016161336,28054759.064976312,100239442.09206602
BIH,BIH,34,Bosnia and Herzegovina,State,drought_spei_copernicus_1940-2024,65173.04750330175,515895.4783679136,3178210.5685280324
MNE,MNE,2647,Montenegro,State,drought_spei_copernicus_1940-2024,2760.171690404726,138275.7518197032,622923.7677953261
KAZ,KAZ,132,Kazakhstan,State,drought_spei_copernicus_1940-2024,5600590.939387949,7014132.875079232,20544183.168450046
UZB,UZB,261,Uzbekistan,State,drought_spei_copernicus_1940-2024,12786276.955333574,12787695.43100284,35821875.85684069
GEO,GEO,92,Georgia,State,drought_spei_copernicus_1940-2024,264094.46002391103,937439.5692579546,3784213.4233360607
ARM,ARM,13,Armenia,State,drought_spei_copernicus_1940-2024,72944.3417426854,692304.033900168,2985294.80775838
BLR,BLR,26,Belarus,State,drought_spei_copernicus_1940-2024,178275.2290011464,1792217.4614245505,9086109.98586381
EST,EST,78,Estonia,State,drought_spei_copernicus_1940-2024,14158.655156884082,265271.9056398523,1354994.099118999
KGZ,KGZ,138,Kyrgyzstan,State,drought_spei_copernicus_1940-2024,2689735.601049124,2689810.5495979707,7128254.228270121
TKM,TKM,250,Turkmenistan,State,drought_spei_copernicus_1940-2024,2492031.8251818973,2720145.0325089544,7502559.663057942
MDA,MDA,165,Moldova,State,drought_spei_copernicus_1940-2024,602110.1144459704,714907.51925252,3053481.236112128
BGR,BGR,41,Bulgaria,State,drought_spei_copernicus_1940-2024,638542.7790421203,1180649.0763799716,6741954.2780567575
SRB,SRB,2648,Serbia,State,drought_spei_copernicus_1940-2024,239884.26289159904,1616522.1809762565,8447238.991488868
AZE,AZE,19,Azerbaijan,State,drought_spei_copernicus_1940-2024,1903039.4632928085,2747049.024153959,10305389.436339865
OMN,OMN,187,Oman,State,drought_spei_copernicus_1940-2024,531.8239088172559,1456456.2483514303,5085011.080962791
ARE,ARE,255,United Arab Emirates,State,drought_spei_copernicus_1940-2024,0.0,2017226.7084702773,10543474.588907082
ROU,ROU,203,Romania,State,drought_spei_copernicus_1940-2024,3124469.1846079337,3678752.77454554,19060418.468438007
KWT,KWT,137,Kuwait,State,drought_spei_copernicus_1940-2024,48522.09513382375,1065069.932155687,4806398.575371386
UKR,UKR,254,Ukraine,State,drought_spei_copernicus_1940-2024,2781772.8582739923,6441730.802744019,37108428.06449344
BTN,BTN,31,Bhutan,State,drought_spei_copernicus_1940-2024,13142.46963537182,208357.86893249143,789298.3287236916
