iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total
DZA,4,Algeria,State,drought_spi_copernicus_1940-2024,3189452.600617896,16139589.60339114,45535929.88414952
EGY,284,Egypt,State,drought_spi_copernicus_1940-2024,2232912.7844650038,43437953.59144933,114593975.80522698
ERI,77,Eritrea,State,drought_spi_copernicus_1940-2024,151621.44811740355,1606584.4996666152,3486964.7724528024
ESP,229,Spain,State,drought_spi_copernicus_1940-2024,518413.520892613,7175342.6927733375,44022725.33000858
FIN,84,Finland,State,drought_spi_copernicus_1940-2024,513977.7612473317,991544.3611350833,5481231.60395948
ETH,79,Ethiopia,State,drought_spi_copernicus_1940-2024,12512630.367098548,60017167.317169525,130475844.22602253
EST,78,Estonia,State,drought_spi_copernicus_1940-2024,216223.47459244975,264505.7840974989,1355890.3274222582
FRA,85,France,State,drought_spi_copernicus_1940-2024,11940326.78695406,13295576.59134766,65600105.08885808
FSM,163,Micronesia (Federated States of),State,drought_spi_copernicus_1940-2024,0.0,33224.54389970843,96612.12793625303
FJI,276,Fiji,State,drought_spi_copernicus_1940-2024,0.0,294958.4864608859,881256.9404341856
GBR,256,United Kingdom of Great Britain & Northern Ireland,State,drought_spi_copernicus_1940-2024,13867628.40856018,13876627.771307765,67081011.07342319
GAB,89,Gabon,State,drought_spi_copernicus_1940-2024,546028.0462879966,1061384.3246983562,2481901.429977897
GIN,106,Guinea,State,drought_spi_copernicus_1940-2024,745687.0003000511,6962287.36771465,14521541.651037283
GMB,90,Gambia,State,drought_spi_copernicus_1940-2024,0.0,1289237.894744835,2704730.2334902566
GEO,92,Georgia,State,drought_spi_copernicus_1940-2024,315913.6659926896,936649.800456076,3789540.2679977566
GHA,94,Ghana,State,drought_spi_copernicus_1940-2024,6703068.677567169,14402609.60914621,33944101.02159335
GRD,99,Grenada,State,drought_spi_copernicus_1940-2024,0.0,26597.016812792004,103446.63029357528
GNQ,76,Equatorial Guinea,State,drought_spi_copernicus_1940-2024,557390.6434071797,808399.358870398,1834492.347763331
GNB,105,Guinea-Bissau,State,drought_spi_copernicus_1940-2024,0.0,991855.9531200428,2159573.759235356
HND,111,Honduras,State,drought_spi_copernicus_1940-2024,447945.4896292308,3943858.633544406,10680596.343706677
GUY,107,Guyana,State,drought_spi_copernicus_1940-2024,4710.198574846211,281356.9749974066,806516.1305592475
GRC,97,Greece,State,drought_spi_copernicus_1940-2024,46033.32160152487,1614944.8978723926,9640961.847937165
GTM,103,Guatemala,State,drought_spi_copernicus_1940-2024,2482590.0682414607,6957737.932168799,18248624.36506566
HUN,113,Hungary,State,drought_spi_copernicus_1940-2024,1667840.476561935,1702871.456354855,9688358.543239586
HTI,108,Haiti,State,drought_spi_copernicus_1940-2024,0.0,4369564.049571165,11561678.239898574
HRV,62,Croatia,State,drought_spi_copernicus_1940-2024,510777.9894966575,663754.4829499392,3787648.900208083
IND,115,India,State,drought_spi_copernicus_1940-2024,151599341.87341255,429150837.0347463,1424016519.1033232
IRN,117,Iran (Islamic Republic of),State,drought_spi_copernicus_1940-2024,14736156.277652817,24294847.97922197,90460500.98066571
IRL,119,Ireland,State,drought_spi_copernicus_1940-2024,1175279.1402033372,1175298.1726323552,5126029.325195856
IRQ,118,Iraq,State,drought_spi_copernicus_1940-2024,2000163.5593729145,19703403.363175876,45558484.665153936
ISR,121,Israel,State,drought_spi_copernicus_1940-2024,285.8793051465469,2536958.630299905,9132753.896187162
IDN,272,Indonesia,State,drought_spi_copernicus_1940-2024,75104414.1532513,81336242.80827138,274194497.692384
ISL,114,Iceland,State,drought_spi_copernicus_1940-2024,36253.49151100583,83771.06825152114,373316.9137436817
ITA,122,Italy,State,drought_spi_copernicus_1940-2024,2083528.8109782697,8867068.845870716,58822714.11049495
JAM,123,Jamaica,State,drought_spi_copernicus_1940-2024,0.0,670183.368410588,2793799.338805232
JOR,130,Jordan,State,drought_spi_copernicus_1940-2024,3478352.526402382,4258511.621413205,11523987.80478274
JPN,126,Japan,State,drought_spi_copernicus_1940-2024,14512608.372327251,17150403.38074865,120698048.04212923
KAZ,132,Kazakhstan,State,drought_spi_copernicus_1940-2024,6124012.1095819725,7013864.848751672,20544135.467350338
KEN,133,Kenya,State,drought_spi_copernicus_1940-2024,1736082.259453041,24625532.74676259,55527033.47588344
KGZ,138,Kyrgyzstan,State,drought_spi_copernicus_1940-2024,2645836.9650050886,2689821.243125588,7128243.330953766
KHM,44,Cambodia,State,drought_spi_copernicus_1940-2024,4466668.060996631,6211092.529221759,17474540.400970142
KWT,137,Kuwait,State,drought_spi_copernicus_1940-2024,837761.8886284892,1065069.932155687,4806398.575371386
KIR,135,Kiribati,State,drought_spi_copernicus_1940-2024,0.0,47860.0387403717,69139.46460305456
KNA,208,Saint Kitts and Nevis,State,drought_spi_copernicus_1940-2024,0.0,10339.276502371737,42147.38899991664
LBN,141,Lebanon,State,drought_spi_copernicus_1940-2024,16495.0140136218,1848615.762826691,5710221.290856774
LAO,139,Lao People's Democratic Republic,State,drought_spi_copernicus_1940-2024,1430040.9486178425,2799986.696374424,7773182.864683836
LBR,144,Liberia,State,drought_spi_copernicus_1940-2024,2306716.44636502,2595882.198157564,5503269.313599072
LBY,145,Libya,State,drought_spi_copernicus_1940-2024,214114.1642070865,2369493.490321165,7084741.747273151
KOR,202,Republic of Korea,State,drought_spi_copernicus_1940-2024,599717.442397364,6896494.420032748,51290326.88351894
LIE,146,Liechtenstein,State,drought_spi_copernicus_1940-2024,6875.375215402418,6875.375215402418,39265.798917740125
LCA,209,Saint Lucia,State,drought_spi_copernicus_1940-2024,0.0,38966.40784049173,173094.362651723
LKA,231,Sri Lanka,State,drought_spi_copernicus_1940-2024,5052408.728397201,6180127.650252735,22673393.6513328
LSO,142,Lesotho,State,drought_spi_copernicus_1940-2024,66689.75265788616,953829.4465429004,2322762.20800154
LUX,148,Luxembourg,State,drought_spi_copernicus_1940-2024,125867.0302164336,125867.0302164336,665461.0224727879
LVA,140,Latvia,State,drought_spi_copernicus_1940-2024,341407.48329570884,352447.4739531807,1873820.8873327945
