ucode,max,mean,median,min
AFG_0033_0004_V1,0.0,0.0,0.0,0.0
AFG_0033_0002_V1,0.0,0.0,0.0,0.0
AFG_0033_0003_V1,0.0,0.0,0.0,0.0
AFG_0034_0006_V1,0.0,0.0,0.0,0.0
AFG_0034_0010_V1,0.0,0.0,0.0,0.0
AFG_0034_0001_V1,0.0,0.0,0.0,0.0
AFG_0034_0009_V1,0.0,0.0,0.0,0.0
AFG_0034_0004_V1,0.0,0.0,0.0,0.0
AFG_0034_0007_V1,0.0,0.0,0.0,0.0
AFG_0034_0008_V1,0.0,0.0,0.0,0.0
AFG_0034_0002_V1,0.0,0.0,0.0,0.0
AFG_0034_0005_V1,0.0,0.0,0.0,0.0
AFG_0034_0003_V1,0.0,0.0,0.0,0.0
AFG_0034_0011_V1,0.0,0.0,0.0,0.0
ALB_0001_0003_V1,0.0,0.0,0.0,0.0
ALB_0001_0004_V1,0.0,0.0,0.0,0.0
ALB_0001_0002_V1,0.0,0.0,0.0,0.0
ALB_0001_0005_V1,0.0,0.0,0.0,0.0
ALB_0002_0002_V1,0.0,0.0,0.0,0.0
ALB_0002_0001_V1,0.0,0.0,0.0,0.0
ALB_0003_0001_V1,1.0,0.1470117094122335,0.0,0.0
ALB_0003_0002_V1,1.0,0.0123770554863332,0.0,0.0
ALB_0004_0002_V1,0.0,0.0,0.0,0.0
ALB_0005_0003_V1,0.0,0.0,0.0,0.0
ALB_0005_0004_V1,0.0,0.0,0.0,0.0
ALB_0005_0001_V1,1.0,0.2186875214587877,0.0,0.0
ALB_0006_0003_V1,0.0,0.0,0.0,0.0
ALB_0006_0002_V1,0.0,0.0,0.0,0.0
ALB_0006_0004_V1,0.0,0.0,0.0,0.0
ALB_0006_0006_V1,0.0,0.0,0.0,0.0
ALB_0006_0007_V1,0.0,0.0,0.0,0.0
ALB_0007_0002_V1,0.0,0.0,0.0,0.0
ALB_0007_0001_V1,0.0,0.0,0.0,0.0
ALB_0007_0003_V1,0.0,0.0,0.0,0.0
ALB_0008_0003_V1,0.0,0.0,0.0,0.0
ALB_0008_0002_V1,0.0,0.0,0.0,0.0
ALB_0008_0001_V1,0.0,0.0,0.0,0.0
ALB_0009_0002_V1,1.0,0.1222656784264496,0.0,0.0
ALB_0009_0001_V1,1.0,0.1428612453404458,0.0,0.0
ALB_0009_0003_V1,0.0,0.0,0.0,0.0
ALB_0010_0002_V1,1.0,3.938479306995255e-05,0.0,0.0
ALB_0010_0004_V1,1.0,0.0407392139336122,0.0,0.0
ALB_0010_0005_V1,0.0,0.0,0.0,0.0
ALB_0010_0003_V1,0.0,0.0,0.0,0.0
ALB_0010_0006_V1,1.0,0.0081058743766249,0.0,0.0
ALB_0010_0001_V1,0.0,0.0,0.0,0.0
ALB_0011_0005_V1,0.0,0.0,0.0,0.0
ALB_0011_0001_V1,0.0,0.0,0.0,0.0
ALB_0011_0003_V1,1.0,0.0729550151156223,0.0,0.0
ALB_0011_0002_V1,1.0,0.0549421688484237,0.0,0.0
ALB_0011_0004_V1,0.0,0.0,0.0,0.0
ALB_0012_0007_V1,1.0,0.1279596391584762,0.0,0.0
ALB_0012_0003_V1,1.0,0.0005616753302662125,0.0,0.0
ALB_0012_0005_V1,1.0,0.044536196510531,0.0,0.0
ALB_0012_0001_V1,0.0,0.0,0.0,0.0
ALB_0012_0004_V1,1.0,0.0431022971436433,0.0,0.0
ALB_0012_0006_V1,0.0,0.0,0.0,0.0
ARM_0001_0001_V1,0.0,0.0,0.0,0.0
ARM_0002_0004_V1,0.0,0.0,0.0,0.0
ARM_0002_0001_V1,0.0,0.0,0.0,0.0
ARM_0002_0003_V1,0.0,0.0,0.0,0.0
ARM_0002_0002_V1,0.0,0.0,0.0,0.0
ARM_0003_0001_V1,0.0,0.0,0.0,0.0
ARM_0003_0002_V1,0.0,0.0,0.0,0.0
ARM_0003_0003_V1,0.0,0.0,0.0,0.0
ARM_0004_0001_V1,0.0,0.0,0.0,0.0
ARM_0004_0003_V1,0.0,0.0,0.0,0.0
ARM_0004_0002_V1,0.0,0.0,0.0,0.0
ARM_0005_0002_V1,0.0,0.0,0.0,0.0
ARM_0005_0006_V1,0.0,0.0,0.0,0.0
ARM_0005_0004_V1,0.0,0.0,0.0,0.0
ARM_0005_0005_V1,0.0,0.0,0.0,0.0
ARM_0005_0001_V1,0.0,0.0,0.0,0.0
ARM_0005_0003_V1,0.0,0.0,0.0,0.0
ARM_0006_0001_V1,0.0,0.0,0.0,0.0
ARM_0006_0002_V1,0.0,0.0,0.0,0.0
ARM_0006_0003_V1,0.0,0.0,0.0,0.0
ARM_0006_0005_V1,0.0,0.0,0.0,0.0
ARM_0006_0004_V1,0.0,0.0,0.0,0.0
ARM_0007_0001_V1,0.0,0.0,0.0,0.0
ARM_0007_0002_V1,0.0,0.0,0.0,0.0
ARM_0007_0003_V1,0.0,0.0,0.0,0.0
ARM_0008_0002_V1,0.0,0.0,0.0,0.0
ARM_0008_0003_V1,0.0,0.0,0.0,0.0
ARM_0008_0001_V1,0.0,0.0,0.0,0.0
ARM_0008_0005_V1,0.0,0.0,0.0,0.0
ARM_0008_0004_V1,0.0,0.0,0.0,0.0
ARM_0009_0001_V1,0.0,0.0,0.0,0.0
ARM_0009_0003_V1,0.0,0.0,0.0,0.0
ARM_0009_0004_V1,0.0,0.0,0.0,0.0
